period,n_teams,lb,elo_k,sigma_diff,acc,mae,corr,cp_min,cp_max,train_r2,test_r2,val_r2,train_sign,test_sign,sigma_source
20,16,5,32,19.251,0.4375,8.9756,0.1028,0.1423,0.795,0.439,0.207,,0.779,0.656,test
21,14,3,64,19.334,0.5,9.8216,0.3584,0.1031,0.7422,0.423,0.172,,0.756,0.654,test
22,18,5,64,18.945,0.4444,8.6787,0.4174,0.1125,0.8875,0.51,0.195,,0.807,0.656,test
23,17,3,48,18.961,0.4706,9.7216,0.0745,0.1683,0.7334,0.44,0.174,,0.764,0.652,test
24,20,7,16,18.994,0.7,8.7136,0.5417,0.0202,0.8854,0.46,0.172,,0.765,0.63,test
25,24,3,48,18.758,0.625,10.204,0.412,0.0714,0.8447,0.404,0.191,,0.752,0.661,test
26,24,5,32,18.444,0.625,10.4025,0.5776,0.0737,0.9068,0.453,0.225,,0.767,0.656,test
27,26,7,48,19.167,0.3846,12.6401,0.1089,0.2793,0.7115,0.432,0.176,,0.815,0.603,test
28,10,3,48,18.71,0.2,13.3216,-0.2343,0.115,0.8299,0.383,0.201,,0.727,0.662,test
29,14,3,64,19.18,0.7857,13.8858,0.4234,0.0282,0.7934,0.571,0.162,,0.787,0.646,test
30,25,3,64,19.224,0.64,12.4654,0.5586,0.0859,0.9141,0.592,0.172,,0.817,0.641,test
31,23,3,48,19.15,0.5652,12.3796,0.3758,0.1916,0.7258,0.279,0.183,,0.696,0.662,test
32,21,3,48,18.84,0.619,10.8094,0.1778,0.0637,0.8738,0.381,0.201,,0.724,0.679,test
33,29,3,64,18.981,0.4483,12.8654,0.1252,0.217,0.8297,0.438,0.194,,0.749,0.652,test
34,22,3,16,19.393,0.5909,10.076,0.3201,0.1994,0.7958,0.394,0.154,,0.758,0.641,test
35,6,3,48,18.942,0.3333,11.698,0.2734,0.1321,0.5935,0.299,0.192,,0.697,0.655,test
36,15,3,16,19.309,0.5333,17.2753,0.2848,0.035,0.8868,0.398,0.173,,0.715,0.652,test
37,24,3,48,19.041,0.75,10.9193,0.3193,0.136,0.864,0.511,0.198,,0.774,0.658,test
38,18,3,64,19.202,0.5,15.4434,0.3647,0.0354,0.8196,0.366,0.2,,0.718,0.673,test
39,25,5,48,19.274,0.52,13.6975,0.3307,0.1851,0.7208,0.3,0.213,,0.701,0.677,test
40,27,3,48,19.496,0.2963,15.7855,-0.0854,0.0681,0.8463,0.403,0.199,,0.731,0.664,test
41,16,3,32,19.746,0.5,9.9383,0.3185,0.1211,0.6496,0.399,0.173,,0.727,0.652,test
42,22,3,48,15.78,0.5,9.8369,0.3359,0.1303,0.776,0.332,0.194,0.151,0.718,0.658,val
43,20,7,32,18.708,0.6,13.0444,0.0879,0.1109,0.797,0.36,0.198,0.179,0.732,0.662,val
44,18,3,32,19.241,0.6111,12.7045,0.6369,0.0124,0.908,0.564,0.163,0.11,0.792,0.642,val
45,14,5,32,17.831,0.5,10.8368,0.0186,0.1516,0.6328,0.355,0.198,0.245,0.726,0.646,val
46,22,3,32,18.641,0.5,11.4109,0.3921,0.071,0.9018,0.467,0.178,0.133,0.773,0.651,val
47,19,3,32,19.501,0.5263,14.1434,0.4114,0.0541,0.8715,0.392,0.181,0.156,0.739,0.645,val
48,20,3,32,19.463,0.65,10.2862,0.7328,0.0785,0.8804,0.397,0.18,0.163,0.735,0.637,val
49,14,3,64,20.396,0.6429,13.0554,0.3018,0.2676,0.6985,0.234,0.159,0.156,0.702,0.655,val
50,21,7,48,19.939,0.5238,9.5896,0.0764,0.3554,0.6104,0.205,0.164,0.138,0.681,0.674,val
51,24,3,64,20.267,0.5833,15.0237,0.454,0.1779,0.633,0.36,0.194,0.17,0.731,0.669,val
52,20,3,48,20.514,0.5,13.5356,0.3807,0.3509,0.7703,0.331,0.179,0.169,0.738,0.647,val
53,28,5,48,20.478,0.5357,13.1879,0.1791,0.1057,0.7759,0.417,0.208,0.175,0.754,0.661,val
54,8,5,48,20.586,0.75,11.3982,0.7022,0.2719,0.6566,0.33,0.206,0.179,0.724,0.66,val
55,18,3,48,20.862,0.6111,11.324,0.3888,0.1034,0.7294,0.379,0.181,0.154,0.73,0.65,val
56,21,3,32,21.346,0.6667,12.8019,0.6422,0.0994,0.8704,0.385,0.184,0.156,0.73,0.654,val
57,20,3,48,20.983,0.6,9.9708,0.3688,0.1774,0.8226,0.373,0.191,0.165,0.731,0.659,val
58,26,5,48,21.218,0.5,13.9892,0.2078,0.1235,0.9394,0.412,0.199,0.142,0.75,0.653,val
59,30,3,64,21.396,0.6667,13.5472,0.213,0.2929,0.7071,0.326,0.187,0.134,0.727,0.656,val
60,19,3,48,20.769,0.3158,11.1955,0.1817,0.2316,0.7297,0.361,0.202,0.165,0.73,0.669,val
61,14,3,32,21.427,0.7143,11.535,0.2146,0.0851,0.8249,0.391,0.175,0.112,0.734,0.641,val
62,28,3,32,21.317,0.5357,9.3063,0.3882,0.1016,0.8984,0.521,0.173,0.087,0.78,0.641,val
63,23,3,48,20.872,0.5652,13.9106,0.4711,0.187,0.7722,0.378,0.189,0.149,0.738,0.656,val
64,21,5,32,20.91,0.7619,10.5676,0.5225,0.2291,0.7704,0.285,0.195,0.159,0.7,0.657,val
65,24,3,32,20.863,0.4167,13.2722,0.0372,0.1635,0.8365,0.334,0.188,0.15,0.717,0.65,val
66,25,5,48,21.047,0.44,14.8661,-0.0395,0.0782,0.9218,0.459,0.188,0.133,0.759,0.642,val
67,24,3,16,20.866,0.625,10.7505,0.2702,0.1932,0.8079,0.383,0.166,0.131,0.735,0.636,val
68,15,5,16,20.893,0.6,10.7323,-0.0104,0.2865,0.6896,0.278,0.163,0.125,0.709,0.633,val
69,17,5,32,20.58,0.5294,9.3554,0.5075,0.255,0.745,0.3,0.187,0.142,0.713,0.653,val
70,9,5,48,20.32,0.7778,8.3431,0.9299,0.1795,0.5583,0.269,0.198,0.161,0.696,0.667,val
71,21,5,32,20.417,0.4286,13.2858,-0.0882,0.1511,0.779,0.339,0.198,0.146,0.724,0.65,val
72,19,3,48,20.424,0.6842,11.0856,0.4846,0.1904,0.7432,0.344,0.199,0.148,0.721,0.66,val
73,17,3,16,20.672,0.5882,12.8668,0.4417,0.0536,0.9073,0.394,0.165,0.135,0.73,0.659,val
74,10,7,32,20.661,0.4,5.6828,-0.333,0.3829,0.6158,0.282,0.169,0.127,0.717,0.658,val
75,20,10,16,20.961,0.55,15.1239,0.3109,0.1596,0.8649,0.394,0.174,0.133,0.738,0.641,val
76,14,3,32,20.781,0.4286,13.5096,0.4211,0.102,0.7592,0.355,0.183,0.146,0.721,0.65,val
77,18,3,32,20.897,0.6111,9.8434,0.5009,0.1708,0.7269,0.409,0.174,0.127,0.735,0.643,val
78,12,3,32,20.702,0.6667,13.3461,0.4806,0.214,0.6309,0.3,0.173,0.15,0.713,0.642,val
79,17,3,32,20.801,0.2941,14.6398,-0.051,0.3062,0.6938,0.265,0.161,0.14,0.717,0.637,val
80,16,5,64,20.488,0.6875,11.7137,0.3945,0.2055,0.661,0.342,0.203,0.166,0.73,0.668,val
81,16,3,32,20.502,0.3125,12.5827,-0.0521,0.1144,0.6812,0.322,0.181,0.158,0.714,0.646,val
82,26,3,32,20.534,0.3846,13.7088,0.1998,0.21,0.7359,0.308,0.176,0.158,0.719,0.64,val
83,14,10,48,20.395,0.2857,12.5679,-0.223,0.1028,0.8972,0.262,0.196,0.166,0.696,0.666,val
84,6,3,32,20.852,0.6667,20.455,0.2598,0.3694,0.5459,0.272,0.155,0.137,0.708,0.629,val
85,4,3,32,20.702,0.5,10.0054,-0.0128,0.2935,0.5112,0.306,0.169,0.148,0.716,0.637,val
