team,1_ago_ss,ss_mean_5,cover_streak,fade_streak,period,home,is_b2b,spread,off_rating,def_rating,net_rating,opp_off_rating,opp_def_rating,matchup_off_edge,matchup_def_edge,elo_diff,opponent_elo,style_edge
0,-25.5,-9.5,0.0,1.0,20,0.0,0.0,,116.5,116.5,0.0,105.4,117.1,-0.5999999999999943,11.099999999999994,35.97204893179037,1487.650221604768,-408.3609256799258
1,4.5,-9.833333333333334,1.0,0.0,20,1.0,0.0,,114.9,106.0,8.9,108.5,113.0,1.9000000000000057,-2.5,10.973719622872295,1523.6222705365583,1315.8197188237684
2,14.5,2.375,1.0,0.0,20,1.0,0.0,,115.5,112.7,2.9,111.6,117.9,-2.4000000000000057,1.1000000000000085,16.71269274401061,1508.8921215205846,-85.9971670695823
3,-10.0,2.8333333333333335,0.0,1.0,20,0.0,0.0,,111.6,117.9,-6.2,108.5,113.0,-1.4000000000000057,9.400000000000006,-93.81419660833808,1544.4916519639899,-716.0733121292283
4,-7.0,-5.875,0.0,2.0,20,0.0,0.0,5.0,108.5,113.0,-4.5,109.0,109.6,-1.0999999999999943,4.0,-74.61762379200877,1549.6972342398346,418.2837294011952
5,26.0,-6.166666666666667,1.0,0.0,20,1.0,0.0,,109.9,108.8,1.2,102.6,110.1,-0.19999999999998863,6.200000000000003,-35.97204893179037,1523.6222705365583,2198.338275848777
6,-17.0,-18.5,0.0,1.0,20,1.0,1.0,,114.9,115.0,-0.1,115.7,108.0,6.900000000000006,-0.7000000000000028,59.31679112245911,1451.8650999581946,-518.1456381417395
7,-22.5,-12.1,0.0,2.0,20,1.0,0.0,-3.0,114.0,111.1,2.9,105.4,117.1,-3.0999999999999943,5.699999999999989,4.98913621883321,1526.4530280170484,-631.6131901511417
8,,-9.0,0.0,0.0,20,1.0,0.0,7.5,106.1,115.0,-8.9,109.2,109.0,-2.9000000000000057,5.799999999999997,-0.2180563697575053,1446.7531073926093,825.6437949886448
9,-5.5,-6.2,0.0,5.0,20,1.0,0.0,-9.5,111.8,111.5,0.3,105.4,117.1,-5.299999999999997,6.099999999999994,-30.845004998033573,1528.0880128856386,-210.06739543626355
10,-15.5,4.0,0.0,1.0,20,0.0,0.0,3.0,110.4,107.8,2.5,109.2,109.0,1.4000000000000057,-1.4000000000000057,-4.98913621883321,1531.4421642358816,1491.6001908150263
11,-13.0,5.5,0.0,1.0,20,0.0,0.0,-7.5,119.7,118.2,1.4,113.4,111.6,8.100000000000009,4.799999999999997,21.71698412663477,1496.868579887489,-66.18252904455214
12,5.5,-4.0,1.0,0.0,20,0.0,1.0,-5.5,,,,111.8,111.5,,,-13.581892353979129,1527.249912444616,-6.149874582353107
13,-41.0,-7.333333333333333,0.0,1.0,20,0.0,0.0,,109.2,109.0,0.2,106.1,115.0,-5.799999999999997,2.9000000000000057,-17.649502960891823,1543.7896834215746,-825.6437949886448
14,19.5,-6.333333333333333,1.0,0.0,20,0.0,1.0,,103.1,109.3,-6.2,114.1,111.4,-8.300000000000011,-4.799999999999997,-59.31679112245911,1511.1818910806537,855.9203399809116
15,-5.0,2.6,0.0,2.0,20,1.0,0.0,5.0,113.4,111.6,1.8,116.1,113.1,0.30000000000001137,-4.5,-14.21774939350371,1511.0863292809927,-39.52290119155498
16,11.5,-0.16666666666666666,1.0,0.0,20,0.0,0.0,-11.5,116.1,113.1,3.0,113.4,111.6,4.5,-0.30000000000001137,43.02200834796304,1457.4878129204017,39.52290119155498
