team,1_ago_ss,ss_mean_5,cover_streak,fade_streak,period,home,is_b2b,spread,elo_diff,opponent_elo,style_edge
0,-12.5,-8.375,0.0,2.0,20,True,0.0,,-10.535287876434495,1466.1075572022762,-1259.7800640564772
1,-6.0,-1.3,0.0,1.0,20,False,1.0,-8.5,101.68758619932555,1466.1075572022762,205.945850458507
2,12.5,0.875,1.0,0.0,20,False,1.0,,-5.739786603158791,1462.6020903499427,312.896017484953
3,,1.0,0.0,0.0,20,True,1.0,7.5,-72.85477541148498,1519.027246644092,-1000.1060811172556
4,12.5,-7.375,1.0,0.0,20,True,1.0,-4.5,10.535287876434495,1455.5722693258417,-1456.671288862071
5,14.0,1.3,1.0,0.0,20,True,0.0,,160.42998694933203,1434.8003020225142,725.9566401203908
6,,1.0,0.0,0.0,20,True,0.0,,105.07381115346811,1455.5722693258417,1908.4533084846532
7,,-7.833333333333333,0.0,0.0,20,False,0.0,4.0,90.34389819409171,1443.2467196677637,-694.9174344654111
8,,12.0,0.0,0.0,20,True,0.0,9.5,-47.45294870695352,1539.7323759123467,321.4583544496594
9,-16.0,-7.625,0.0,2.0,20,True,0.0,-3.0,98.59178684269841,1456.862303746784,-774.4001493744789
10,18.5,19.25,2.0,0.0,20,True,1.0,4.0,62.18291691114496,1500.7368684564797,1908.4533084846532
11,8.0,-2.125,2.0,0.0,20,True,0.0,-12.0,44.156422881535036,1434.8003020225142,-76.08639689276285
12,29.5,17.5,2.0,0.0,20,False,0.0,1.0,120.60533851010723,1441.9757581386027,-784.3787108287697
13,,-3.0,0.0,0.0,20,False,0.0,-3.5,-40.600608174749595,1533.5906178618554,-531.5510014548893
14,29.0,13.25,2.0,0.0,20,True,0.0,-5.0,46.17757345102541,1500.7368684564797,1387.3699135245288
15,,14.5,0.0,0.0,20,False,1.0,-2.0,50.1348292612106,1468.8924173828814,289.0949597421561
16,-1.0,0.875,0.0,2.0,20,True,0.0,2.0,-3.0443053760591283,1519.027246644092,1908.4533084846532
17,,3.25,0.0,0.0,20,True,1.0,-4.0,-63.98943852941875,1562.9197853676246,-0.7458971384018618
18,4.0,-7.6,2.0,0.0,20,True,0.0,,-44.156422881535036,1478.9567249040492,352.4003653296991
19,-19.5,1.1666666666666667,0.0,1.0,20,False,1.0,,-25.759865733303286,1560.6460804793098,1000.1060811172556
