,Week 1 spread,Week 1 Opponent,Week 1 score,Week 1 diff,Week 1 spreadscore,Week 2 spread,Week 2 spread wrong probably,Week 2 coverprob,Week 2 predspread,Week 2 Opponent,Week 2 coverprob_diff,Week 2 predspread_diff,Week 2 Opponent,Week 2 Order
Arizona Cardinals,7,Washington Commanders,16,-4,3,4.5,4.5,0.5266581,0.14908272,New York Giants,0.013880134,0.050128989,New York Giants,10
Atlanta Falcons,-3.5,Carolina Panthers,24,14,10.5,-3,-3,0.48379156,-4.5398464,Green Bay Packers,0.025524199,-6.92144084,Green Bay Packers,1
Baltimore Ravens,-9.5,Houston Texans,25,16,6.5,3.5,3.5,0.50053674,-4.365124,Cincinnati Bengals,-0.093996108,1.323624611,Cincinnati Bengals,3
Buffalo Bills,-2.5,New York Jets,16,-6,-8.5,-7.5,-7.5,0.49941933,2.5626204,Las Vegas Raiders,-0.011538625,4.849786043,Las Vegas Raiders,2
Carolina Panthers,3.5,Atlanta Falcons,10,-14,-10.5,3,3,0.5316942,0.2631465,New Orleans Saints,-0.066439986,5.192411512,New Orleans Saints,14
Chicago Bears,-1.5,Green Bay Packers,20,-18,-19.5,2.5,2.5,0.59453285,-7.5787063,Tampa Bay Buccaneers,0.103737682,-15.45988846,Tampa Bay Buccaneers,6
Cincinnati Bengals,-2,Cleveland Browns,3,-21,-23,-3.5,-3.5,0.59453285,-5.688749,Baltimore Ravens,0.093996108,-1.323624611,Baltimore Ravens,3
Cleveland Browns,2,Cincinnati Bengals,24,21,23,-2.5,-2.5,0.45826736,2.221873,Pittsburgh Steelers,-0.105791122,7.095149279,Pittsburgh Steelers,15
Dallas Cowboys,-3,New York Giants,40,40,37,-10.5,-10.5,0.5169956,-1.6593721,New York Jets,0.042969346,5.756337881,New York Jets,11
Denver Broncos,-3,Las Vegas Raiders,16,-1,-4,-3.5,5.5,0.6379734,5.8627305,Washington Commanders,0.050261438,10.00412893,Washington Commanders,12
Detroit Lions,4,Kansas City Chiefs,21,1,5,-4.5,-5.5,0.51095796,-4.9223504,Seattle Seahawks,-0.053100526,-7.487214327,Seattle Seahawks,4
Green Bay Packers,1.5,Chicago Bears,38,18,19.5,3,-1,0.45826736,2.3815944,Atlanta Falcons,-0.025524199,6.92144084,Atlanta Falcons,1
Houston Texans,9.5,Baltimore Ravens,9,-16,-6.5,-1,7,0.6314295,-1.0498883,Indianapolis Colts,0,2.074792266,Indianapolis Colts,8
Indianapolis Colts,4.5,Jacksonville Jaguars,21,-10,-5.5,1,8.5,0.6314295,-3.1246805,Houston Texans,0,-2.074792266,Houston Texans,8
Jacksonville Jaguars,-4.5,Indianapolis Colts,31,10,5.5,3.5,-7,0.51095796,-1.7138896,Kansas City Chiefs,-0.149939775,6.277846336,Kansas City Chiefs,7
