Team,Year,Week,coverprob,predspread,spread,order,opponent,coverprob_diff,predspread_diff
Arizona Cardinals,2024,6,0.41057575,-10.657096,5.0,2.0,Green Bay Packers,-0.11772114038467407,-10.638809740543365
Atlanta Falcons,2024,6,0.57111573,2.515788,-6.0,10.0,Carolina Panthers,0.07415395975112915,8.555479049682617
Baltimore Ravens,2024,6,0.5686753,-14.291077,-7.0,3.0,Washington Commanders,0.0586085319519043,-22.494338989257812
Buffalo Bills,2024,6,0.49117076,0.43805066,-2.5,13.0,New York Jets,0.08957123756408691,-4.06125220656395
Carolina Panthers,2024,6,0.49696177,-6.039691,6.0,10.0,Atlanta Falcons,-0.07415395975112915,-8.555479049682617
Chicago Bears,2024,6,0.42781222,7.569168,-1.5,1.0,Jacksonville Jaguars,-0.1058008074760437,-0.26267004013061523
Cincinnati Bengals,2024,6,0.45716786,0.35347128,-3.5,12.0,New York Giants,0.02604663372039795,-1.174558162689209
Cleveland Browns,2024,6,0.5271437,1.6681315,9.5,4.0,Philadelphia Eagles,0.04943811893463135,10.964515328407288
Dallas Cowboys,2024,6,0.47581697,9.465933,3.0,11.0,Detroit Lions,-0.09815555810928345,5.037720680236816
Denver Broncos,2024,6,0.4945746,1.9155821,3.0,8.0,Los Angeles Chargers,-0.039510369300842285,-0.10669267177581787
Detroit Lions,2024,6,0.5739725,4.428212,-3.0,11.0,Dallas Cowboys,0.09815555810928345,-5.037720680236816
Green Bay Packers,2024,6,0.5282969,-0.018286169,-5.0,2.0,Arizona Cardinals,0.11772114038467407,10.638809740543365
Houston Texans,2024,6,0.4337592,11.799769,-6.5,5.0,New England Patriots,0.015919923782348633,15.294745206832886
Indianapolis Colts,2024,6,0.601807,6.856745,3.0,6.0,Tennessee Titans,0.004776597023010254,-4.3147172927856445
Jacksonville Jaguars,2024,6,0.533613,7.831838,1.5,1.0,Chicago Bears,0.1058008074760437,0.26267004013061523
Kansas City Chiefs,2024,6,0.58845437,6.155941,,,,,
Las Vegas Raiders,2024,6,0.57673734,2.640596,3.0,9.0,Pittsburgh Steelers,0.15860581398010254,7.77459192276001
Los Angeles Chargers,2024,6,0.534085,2.0222747,-3.0,8.0,Denver Broncos,0.039510369300842285,0.10669267177581787
Los Angeles Rams,2024,6,0.4326117,-4.036834,,,,,
Miami Dolphins,2024,6,0.3611629,-16.310635,,,,,
Minnesota Vikings,2024,6,0.44256198,9.141512,,,,,
New England Patriots,2024,6,0.4178393,-3.4949758,6.5,5.0,Houston Texans,-0.015919923782348633,-15.294745206832886
New Orleans Saints,2024,6,0.5564395,-5.6988096,3.0,7.0,Tampa Bay Buccaneers,-0.09303879737854004,-6.743481993675232
New York Giants,2024,6,0.43112123,1.5280294,3.5,12.0,Cincinnati Bengals,-0.02604663372039795,1.174558162689209
New York Jets,2024,6,0.40159953,4.499303,2.5,13.0,Buffalo Bills,-0.08957123756408691,4.06125220656395
Philadelphia Eagles,2024,6,0.4777056,-9.296384,-9.5,4.0,Cleveland Browns,-0.04943811893463135,-10.964515328407288
Pittsburgh Steelers,2024,6,0.41813153,-5.133996,-3.0,9.0,Las Vegas Raiders,-0.15860581398010254,-7.77459192276001
San Francisco 49ers,2024,6,0.52922666,4.5110526,-3.5,0.0,Seattle Seahawks,0.04977911710739136,-1.2785844802856445
Seattle Seahawks,2024,6,0.47944754,5.789637,3.5,0.0,San Francisco 49ers,-0.04977911710739136,1.2785844802856445
Tampa Bay Buccaneers,2024,6,0.6494783,1.0446724,-3.0,7.0,New Orleans Saints,0.09303879737854004,6.743481993675232
Tennessee Titans,2024,6,0.5970304,11.171462,-3.0,6.0,Indianapolis Colts,-0.004776597023010254,4.3147172927856445
Washington Commanders,2024,6,0.51006675,8.203262,7.0,3.0,Baltimore Ravens,-0.0586085319519043,22.494338989257812
