Team,Year,Week,coverprob,predspread,spread,order,opponent,coverprob_diff,predspread_diff
Arizona Cardinals,2024,9,0.3730722,3.1601548,1.0,9.0,Chicago Bears,-0.04582023620605469,1.5908684730529785
Atlanta Falcons,2024,9,0.6885334,0.6678548,-2.5,1.0,Dallas Cowboys,0.08995199203491211,-0.5078256130218506
Baltimore Ravens,2024,9,0.57388806,1.3697821,-9.0,2.0,Denver Broncos,-0.17156803607940674,2.262730896472931
Buffalo Bills,2024,9,0.41553676,2.5364027,-6.5,3.0,Miami Dolphins,0.22296828031539917,1.5641818642616272
Carolina Panthers,2024,9,0.103921175,-0.3226453,7.0,4.0,New Orleans Saints,-0.41971898078918457,4.904094099998474
Chicago Bears,2024,9,0.41889244,1.5692863,-1.0,9.0,Arizona Cardinals,0.04582023620605469,-1.5908684730529785
Cincinnati Bengals,2024,9,0.6556001,0.8270608,-7.5,5.0,Las Vegas Raiders,-0.16650229692459106,-0.28067052364349365
Cleveland Browns,2024,9,0.75709665,3.0098658,2.0,6.0,Los Angeles Chargers,-0.07447576522827148,0.8761265277862549
Dallas Cowboys,2024,9,0.59858143,1.1756804,2.5,1.0,Atlanta Falcons,-0.08995199203491211,0.5078256130218506
Denver Broncos,2024,9,0.7454561,-0.8929488,9.0,2.0,Baltimore Ravens,0.17156803607940674,-2.262730896472931
Detroit Lions,2024,9,0.88146424,2.581032,-3.5,11.0,Green Bay Packers,0.7796342372894287,3.2461289763450623
Green Bay Packers,2024,9,0.101830006,-0.66509694,3.5,11.0,Detroit Lions,-0.7796342372894287,-3.2461289763450623
Houston Texans,2024,9,0.33955657,-0.199852,2.0,0.0,New York Jets,-0.07424944639205933,1.272857889533043
Indianapolis Colts,2024,9,0.23902363,-1.7644789,6.0,13.0,Minnesota Vikings,-0.2018648386001587,-4.982200860977173
Jacksonville Jaguars,2024,9,0.7088709,1.0089054,7.5,10.0,Philadelphia Eagles,-0.005933403968811035,5.607728958129883
Kansas City Chiefs,2024,9,0.5490096,-2.227374,-8.5,14.0,Tampa Bay Buccaneers,0.025981009006500244,-2.517966777086258
Las Vegas Raiders,2024,9,0.82210237,1.1077313,7.5,5.0,Cincinnati Bengals,0.16650229692459106,0.28067052364349365
Los Angeles Chargers,2024,9,0.8315724,2.1337392,-2.0,6.0,Cleveland Browns,0.07447576522827148,-0.8761265277862549
Los Angeles Rams,2024,9,0.070209205,-0.3820161,-1.0,12.0,Seattle Seahawks,-0.6371585726737976,-2.4192682802677155
Miami Dolphins,2024,9,0.19256848,0.97222084,6.5,3.0,Buffalo Bills,-0.22296828031539917,-1.5641818642616272
Minnesota Vikings,2024,9,0.44088846,3.217722,-6.0,13.0,Indianapolis Colts,0.2018648386001587,4.982200860977173
New England Patriots,2024,9,0.10387093,-4.980105,3.5,7.0,Tennessee Titans,-0.4763609766960144,-3.5756596326828003
New Orleans Saints,2024,9,0.52364016,-5.2267394,-7.0,4.0,Carolina Panthers,0.41971898078918457,-4.904094099998474
New York Giants,2024,9,0.5510694,3.4430091,3.5,8.0,Washington Commanders,-0.23374229669570923,-0.2940957546234131
New York Jets,2024,9,0.41380602,-1.4727099,-2.0,0.0,Houston Texans,0.07424944639205933,-1.272857889533043
Philadelphia Eagles,2024,9,0.7148043,-4.5988235,-7.5,10.0,Jacksonville Jaguars,0.005933403968811035,-5.607728958129883
Pittsburgh Steelers,2024,9,0.120229125,-4.8701315,,,,,
San Francisco 49ers,2024,9,0.90628135,2.9632645,,,,,
Seattle Seahawks,2024,9,0.7073678,2.0372522,1.0,12.0,Los Angeles Rams,0.6371585726737976,2.4192682802677155
Tampa Bay Buccaneers,2024,9,0.5230286,0.2905927,8.5,14.0,Kansas City Chiefs,-0.025981009006500244,2.517966777086258
Tennessee Titans,2024,9,0.5802319,-1.4044453,-3.5,7.0,New England Patriots,0.4763609766960144,3.5756596326828003
Washington Commanders,2024,9,0.7848117,3.737105,-3.5,8.0,New York Giants,0.23374229669570923,0.2940957546234131
